MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-02-06 23:18:59.701	2	Running applications	0
2023-02-06 23:18:59.701	3	explorer.exe	0
2023-02-06 23:18:59.701	4	MSTaskListWClass	0
2023-02-06 23:18:59.701	5	\DISPLAY1	0
2023-02-06 23:19:09.157	2	Loading Microsoft Teams	0
2023-02-06 23:19:09.157	3	Teams.exe	0
2023-02-06 23:19:09.157	4	Chrome_WidgetWin_1	0
2023-02-06 23:19:09.157	5	\DISPLAY1	0
2023-02-06 23:19:27.242	2	Do Homework - Homework 2 — Mozilla Firefox	0
2023-02-06 23:19:27.242	3	firefox.exe	0
2023-02-06 23:19:27.242	4	MozillaWindowClass	0
2023-02-06 23:19:27.242	5	\DISPLAY1	0
2023-02-06 23:21:23.182	2	PDF File viewer | Microsoft Teams	0
2023-02-06 23:21:23.182	3	Teams.exe	0
2023-02-06 23:21:23.182	4	Chrome_WidgetWin_1	0
2023-02-06 23:21:23.182	5	\DISPLAY1	0
2023-02-06 23:21:24.333	2	(17) The STRONGEST Abilities In The Game (Tanks) | League of Legends - YouTube — Mozilla Firefox	0
2023-02-06 23:21:24.333	3	firefox.exe	0
2023-02-06 23:21:24.333	4	MozillaWindowClass	0
2023-02-06 23:21:24.333	5	\DISPLAY1	0
2023-02-06 23:23:48.420	2	Type here to search	0
2023-02-06 23:23:48.420	3	explorer.exe	0
2023-02-06 23:23:48.420	4	Button	0
2023-02-06 23:23:48.420	5	\DISPLAY1	0
2023-02-06 23:23:49.168	2	Search	0
2023-02-06 23:23:49.168	3	SearchApp.exe	0
2023-02-06 23:23:49.168	4	Windows.UI.Core.CoreWindow	0
2023-02-06 23:23:49.168	5	\DISPLAY1	0
2023-02-06 23:23:59.168	2	Alan @ UC San Diego ‎- OneNote for Windows 10	0
2023-02-06 23:23:59.168	3	ApplicationFrameHost.exe	0
2023-02-06 23:23:59.168	4	ApplicationFrameWindow	0
2023-02-06 23:23:59.168	5	\DISPLAY1	0
2023-02-06 23:24:14.910	2	Do Homework - Homework 2 — Mozilla Firefox	0
2023-02-06 23:24:14.910	3	firefox.exe	0
2023-02-06 23:24:14.910	4	MozillaWindowClass	0
