MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-01-18 05:35:29.903	2	Microsoft Teams	0
2023-01-18 05:35:29.903	3	Teams.exe	0
2023-01-18 05:35:29.903	4	Chrome_WidgetWin_1	0
2023-01-18 05:35:29.903	5	\DISPLAY1	0
2023-01-18 05:36:01.934	2	Running applications	0
2023-01-18 05:36:01.934	3	explorer.exe	0
2023-01-18 05:36:01.934	4	MSTaskListWClass	0
2023-01-18 05:36:01.934	5	\DISPLAY1	0
2023-01-18 05:36:09.812	2	Dk Pepper - Summoner Stats - League of Legends — Mozilla Firefox	0
2023-01-18 05:36:09.812	3	firefox.exe	0
2023-01-18 05:36:09.812	4	MozillaWindowClass	0
2023-01-18 05:36:09.812	5	\DISPLAY1	0
2023-01-18 06:11:00.718	2	Running applications	0
2023-01-18 06:11:00.718	3	explorer.exe	0
2023-01-18 06:11:00.718	4	MSTaskListWClass	0
2023-01-18 06:11:00.718	5	\DISPLAY1	0
2023-01-18 06:11:02.014	2	(57) SCP-001 - YOU Are The Anomaly - YouTube — Mozilla Firefox	0
2023-01-18 06:11:02.014	3	firefox.exe	0
2023-01-18 06:11:02.014	4	MozillaWindowClass	0
2023-01-18 06:11:02.014	5	\DISPLAY1	0
2023-01-18 06:15:44.768	2	Running applications	0
2023-01-18 06:15:44.768	3	explorer.exe	0
2023-01-18 06:15:44.768	4	MSTaskListWClass	0
2023-01-18 06:15:44.768	5	\DISPLAY1	0
2023-01-18 06:15:46.417	2	General (Service Desk) | Microsoft Teams	0
2023-01-18 06:15:46.417	3	Teams.exe	0
2023-01-18 06:15:46.417	4	Chrome_WidgetWin_1	0
2023-01-18 06:15:46.417	5	\DISPLAY1	0
2023-01-18 06:15:52.678	2	Running applications	0
2023-01-18 06:15:52.678	3	explorer.exe	0
2023-01-18 06:15:52.678	4	MSTaskListWClass	0
2023-01-18 06:15:52.678	5	\DISPLAY1	0
2023-01-18 06:16:05.452	2	Anaconda Navigator	0
2023-01-18 06:16:05.452	3	pythonw.exe	0
2023-01-18 06:16:05.452	4	Qt5QWindowIcon	0
2023-01-18 06:16:05.452	5	\DISPLAY1	0
2023-01-18 06:16:12.846	2	JupyterLab — Mozilla Firefox	0
2023-01-18 06:16:12.846	3	firefox.exe	0
2023-01-18 06:16:12.846	4	MozillaWindowClass	0
2023-01-18 06:16:12.846	5	\DISPLAY1	0
2023-01-18 06:28:29.392	2	Running applications	0
2023-01-18 06:28:29.392	3	explorer.exe	0
2023-01-18 06:28:29.392	4	MSTaskListWClass	0
2023-01-18 06:28:29.392	5	\DISPLAY1	0
2023-01-18 06:28:31.102	2	Chrome Legacy Window	0
2023-01-18 06:28:31.102	3	Teams.exe	0
2023-01-18 06:28:31.102	4	Chrome_RenderWidgetHostHWND	0
2023-01-18 06:28:31.102	5	\DISPLAY1	0
2023-01-18 06:28:33.513	2	python 3 define function parameter type - Google Search — Mozilla Firefox	0
2023-01-18 06:28:33.513	3	firefox.exe	0
2023-01-18 06:28:33.513	4	MozillaWindowClass	0
2023-01-18 06:28:33.513	5	\DISPLAY1	0
2023-01-18 06:52:48.351	2	Running applications	0
2023-01-18 06:52:48.351	3	explorer.exe	0
2023-01-18 06:52:48.351	4	MSTaskListWClass	0
2023-01-18 06:52:48.351	5	\DISPLAY1	0
2023-01-18 06:52:52.111	2	Anaconda Navigator	0
2023-01-18 06:52:52.111	3	pythonw.exe	0
2023-01-18 06:52:52.111	4	Qt5QWindowIcon	0
2023-01-18 06:52:52.111	5	\DISPLAY1	0
2023-01-18 06:52:56.498	2	Uniform Distribution Definition — Mozilla Firefox	0
2023-01-18 06:52:56.498	3	firefox.exe	0
2023-01-18 06:52:56.498	4	MozillaWindowClass	0
2023-01-18 06:52:56.498	5	\DISPLAY1	0
2023-01-18 06:58:38.893	2	Running applications	0
2023-01-18 06:58:38.893	3	explorer.exe	0
2023-01-18 06:58:38.893	4	MSTaskListWClass	0
2023-01-18 06:58:38.893	5	\DISPLAY1	0
2023-01-18 06:58:43.025	2	DSC 140A/Untitl - JupyterLab — Mozilla Firefox	0
2023-01-18 06:58:43.025	3	firefox.exe	0
2023-01-18 06:58:43.025	4	MozillaWindowClass	0
2023-01-18 06:58:43.025	5	\DISPLAY1	0
2023-01-18 07:14:08.800	2	Running applications	0
2023-01-18 07:14:08.800	3	explorer.exe	0
2023-01-18 07:14:08.800	4	MSTaskListWClass	0
2023-01-18 07:14:08.800	5	\DISPLAY1	0
2023-01-18 07:14:09.829	2	WeChat	0
2023-01-18 07:14:09.829	3	WeChat.exe	0
2023-01-18 07:14:09.829	4	WeChatLoginWndForPC	0
2023-01-18 07:14:09.829	5	\DISPLAY1	0
2023-01-18 07:15:01.498	2	DSC 140A/Untitl - JupyterLab — Mozilla Firefox	0
2023-01-18 07:15:01.498	3	firefox.exe	0
2023-01-18 07:15:01.498	4	MozillaWindowClass	0
2023-01-18 07:15:01.498	5	\DISPLAY1	0
2023-01-18 07:15:05.947	2	图片查看	0
2023-01-18 07:15:05.947	3	WeChat.exe	0
2023-01-18 07:15:05.947	4	ImagePreviewWnd	0
2023-01-18 07:15:05.947	5	\DISPLAY1	0
2023-01-18 07:15:11.922	2	Screen Snipping	0
2023-01-18 07:15:11.922	3	ScreenClippingHost.exe	0
2023-01-18 07:15:11.922	4	Windows.UI.Core.CoreWindow	0
2023-01-18 07:15:11.922	5	\DISPLAY1	0
2023-01-18 07:15:13.509	2	WeChat	0
2023-01-18 07:15:13.509	3	WeChat.exe	0
2023-01-18 07:15:13.509	4	WeChatMainWndForPC	0
2023-01-18 07:15:13.509	5	\DISPLAY1	0
2023-01-18 07:15:16.536	2	Screen Snipping	0
2023-01-18 07:15:16.536	3	ScreenClippingHost.exe	0
2023-01-18 07:15:16.536	4	Windows.UI.Core.CoreWindow	0
2023-01-18 07:15:16.536	5	\DISPLAY1	0
2023-01-18 07:15:18.255	2	WeChat	0
2023-01-18 07:15:18.255	3	WeChat.exe	0
2023-01-18 07:15:18.255	4	WeChatMainWndForPC	0
2023-01-18 07:15:18.255	5	\DISPLAY1	0
2023-01-18 07:15:20.459	2	DSC 140A/Untitl - JupyterLab — Mozilla Firefox	0
2023-01-18 07:15:20.459	3	firefox.exe	0
2023-01-18 07:15:20.459	4	MozillaWindowClass	0
2023-01-18 07:15:20.459	5	\DISPLAY1	0
2023-01-18 07:15:38.528	2	WeChat	0
2023-01-18 07:15:38.528	3	WeChat.exe	0
2023-01-18 07:15:38.528	4	WeChatMainWndForPC	0
2023-01-18 07:15:38.528	5	\DISPLAY1	0
2023-01-18 07:16:01.397	2	DSC 140A/Untitl - JupyterLab — Mozilla Firefox	0
2023-01-18 07:16:01.397	3	firefox.exe	0
2023-01-18 07:16:01.397	4	MozillaWindowClass	0
2023-01-18 07:16:01.397	5	\DISPLAY1	0
2023-01-18 07:16:16.548	2		0
2023-01-18 07:16:16.548	3	explorer.exe	0
2023-01-18 07:16:16.548	4	ApplicationManager_DesktopShellWindow	0
2023-01-18 07:16:16.548	5	\DISPLAY1	0
2023-01-18 07:16:22.809	2	homework.pdf — Mozilla Firefox	0
2023-01-18 07:16:22.809	3	firefox.exe	0
2023-01-18 07:16:22.809	4	MozillaWindowClass	0
2023-01-18 07:16:22.809	5	\DISPLAY1	0
2023-01-18 07:16:35.191	2	Screen Snipping	0
2023-01-18 07:16:35.191	3	ScreenClippingHost.exe	0
2023-01-18 07:16:35.191	4	Windows.UI.Core.CoreWindow	0
2023-01-18 07:16:35.191	5	\DISPLAY1	0
2023-01-18 07:16:38.420	2	Running applications	0
2023-01-18 07:16:38.420	3	explorer.exe	0
2023-01-18 07:16:38.420	4	MSTaskListWClass	0
2023-01-18 07:16:38.420	5	\DISPLAY1	0
2023-01-18 07:16:39.243	2	WeChat	0
2023-01-18 07:16:39.243	3	WeChat.exe	0
2023-01-18 07:16:39.243	4	WeChatMainWndForPC	0
2023-01-18 07:16:39.243	5	\DISPLAY1	0
2023-01-18 07:17:08.299	2	Screen Snipping	0
2023-01-18 07:17:08.299	3	ScreenClippingHost.exe	0
2023-01-18 07:17:08.299	4	Windows.UI.Core.CoreWindow	0
2023-01-18 07:17:08.299	5	\DISPLAY1	0
2023-01-18 07:17:16.550	2	WeChat	0
2023-01-18 07:17:16.550	3	WeChat.exe	0
2023-01-18 07:17:16.550	4	WeChatMainWndForPC	0
2023-01-18 07:17:16.550	5	\DISPLAY1	0
2023-01-18 07:17:32.243	2	DSC 140A/Untitl - JupyterLab — Mozilla Firefox	0
2023-01-18 07:17:32.243	3	firefox.exe	0
2023-01-18 07:17:32.243	4	MozillaWindowClass	0
2023-01-18 07:17:32.243	5	\DISPLAY1	0
2023-01-18 07:17:42.100	2	WeChat	0
2023-01-18 07:17:42.100	3	WeChat.exe	0
2023-01-18 07:17:42.100	4	WeChatMainWndForPC	0
