MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-02-05 02:34:53.264	2	Loading Microsoft Teams	0
2023-02-05 02:34:53.264	3	Teams.exe	0
2023-02-05 02:34:53.264	4	Chrome_WidgetWin_1	0
2023-02-05 02:34:53.264	5	\DISPLAY1	0
2023-02-05 02:35:03.767	2	Discord Updater	0
2023-02-05 02:35:03.767	3	Discord.exe	0
2023-02-05 02:35:03.767	4	Chrome_WidgetWin_1	0
2023-02-05 02:35:03.767	5	\DISPLAY1	0
2023-02-05 02:41:03.118	2	Running applications	0
2023-02-05 02:41:03.118	3	explorer.exe	0
2023-02-05 02:41:03.118	4	MSTaskListWClass	0
2023-02-05 02:41:03.118	5	\DISPLAY1	0
2023-02-05 02:41:03.590	2	Chrome Legacy Window	0
2023-02-05 02:41:03.590	3	Discord.exe	0
2023-02-05 02:41:03.590	4	Chrome_RenderWidgetHostHWND	0
2023-02-05 02:41:03.590	5	\DISPLAY1	0
2023-02-05 02:42:23.003	2	(17) DRUTUTT VS WANNABE DZUKILL - YouTube — Mozilla Firefox	0
2023-02-05 02:42:23.003	3	firefox.exe	0
2023-02-05 02:42:23.003	4	MozillaWindowClass	0
2023-02-05 02:42:23.003	5	\DISPLAY1	0
2023-02-05 03:04:00.881	2	Chrome Legacy Window	0
2023-02-05 03:04:00.881	3	Discord.exe	0
2023-02-05 03:04:00.881	4	Chrome_RenderWidgetHostHWND	0
2023-02-05 03:04:00.881	5	\DISPLAY1	0
2023-02-05 03:05:12.656	2	(17) 林俊傑-JJ20演唱會精華@Taiwan台灣站(2022/12/03) feat. 特別嘉賓：告五人 - YouTube — Mozilla Firefox	0
2023-02-05 03:05:12.656	3	firefox.exe	0
2023-02-05 03:05:12.656	4	MozillaWindowClass	0
2023-02-05 03:05:12.656	5	\DISPLAY1	0
2023-02-05 03:17:25.603	2	#announcements | Survivor.io - Discord	0
2023-02-05 03:17:25.603	3	Discord.exe	0
2023-02-05 03:17:25.603	4	Chrome_WidgetWin_1	0
2023-02-05 03:17:25.603	5	\DISPLAY1	0
2023-02-05 03:17:40.678	2	(17) The Insane Engineering of the F-35B - YouTube — Mozilla Firefox	0
2023-02-05 03:17:40.678	3	firefox.exe	0
2023-02-05 03:17:40.678	4	MozillaWindowClass	0
2023-02-05 03:17:40.678	5	\DISPLAY1	0
2023-02-05 03:19:15.364	2	Running applications	0
2023-02-05 03:19:15.364	3	explorer.exe	0
2023-02-05 03:19:15.364	4	MSTaskListWClass	0
2023-02-05 03:19:15.364	5	\DISPLAY1	0
2023-02-05 03:19:17.027	2	(17) The Insane Engineering of the F-35B - YouTube — Mozilla Firefox	0
2023-02-05 03:19:17.027	3	firefox.exe	0
2023-02-05 03:19:17.027	4	MozillaWindowClass	0
