MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
2022-12-21 23:16:47.215,2,Loading Microsoft Teams,0
2022-12-21 23:16:47.215,3,Teams.exe,0
2022-12-21 23:16:47.215,4,Chrome_WidgetWin_1,0
2022-12-21 23:16:47.215,5,\DISPLAY1,0
2022-12-21 23:17:07.672,2,FolderView,0
2022-12-21 23:17:07.672,3,explorer.exe,0
2022-12-21 23:17:07.672,4,SysListView32,0
2022-12-21 23:17:07.672,5,\DISPLAY1,0
2022-12-21 23:17:28.717,2,Riot Client Main,0
2022-12-21 23:17:28.717,3,RiotClientUx.exe,0
2022-12-21 23:17:28.717,4,RCLIENT,0
2022-12-21 23:17:28.717,5,\DISPLAY1,0
2022-12-21 23:32:38.033,2,Type here to search,0
2022-12-21 23:32:38.033,3,explorer.exe,0
2022-12-21 23:32:38.033,4,Button,0
2022-12-21 23:32:38.033,5,\DISPLAY1,0
2022-12-21 23:32:38.744,2,Search,0
2022-12-21 23:32:38.744,3,SearchApp.exe,0
2022-12-21 23:32:38.744,4,Windows.UI.Core.CoreWindow,0
2022-12-21 23:32:38.744,5,\DISPLAY1,0
2022-12-21 23:35:28.747,2,Camera,0
2022-12-21 23:35:28.747,3,ApplicationFrameHost.exe,0
2022-12-21 23:35:28.747,4,ApplicationFrameWindow,0
2022-12-21 23:35:28.747,5,\DISPLAY1,0
2022-12-21 23:35:30.657,2,Camera,0
2022-12-21 23:35:30.657,3,WindowsCamera.exe,0
2022-12-21 23:35:30.657,4,Windows.UI.Core.CoreWindow,0
2022-12-21 23:35:30.657,5,\DISPLAY1,0
2022-12-21 23:35:38.747,2,Camera,0
2022-12-21 23:35:38.747,3,ApplicationFrameHost.exe,0
2022-12-21 23:35:38.747,4,ApplicationFrameWindow,0
2022-12-21 23:35:38.747,5,\DISPLAY1,0
2022-12-21 23:42:06.329,2,Camera,0
2022-12-21 23:42:06.329,3,WindowsCamera.exe,0
2022-12-21 23:42:06.329,4,Windows.UI.Core.CoreWindow,0
2022-12-21 23:42:06.329,5,\DISPLAY1,0
2022-12-21 23:42:08.760,2,Camera,0
2022-12-21 23:42:08.760,3,ApplicationFrameHost.exe,0
2022-12-21 23:42:08.760,4,ApplicationFrameWindow,0
2022-12-21 23:42:08.760,5,\DISPLAY1,0
2022-12-21 23:44:08.768,2,foreground_window - Microsoft Visual Studio,0
2022-12-21 23:44:08.768,3,devenv.exe,0
2022-12-21 23:44:08.768,4,HwndWrapper[DefaultDomain;;80ca68a0-cdcd-43bd-8921-7a0a57e31946],0
2022-12-21 23:44:08.768,5,\DISPLAY1,0
