,Time,ID,value,private_data
100,2022-12-13 01:23:38.948,2,,0
101,2022-12-13 01:23:38.948,3,explorer.exe,0
102,2022-12-13 01:23:38.948,4,ApplicationFrameWindow,0
103,2022-12-13 01:23:38.948,5,\DISPLAY1,0
104,2022-12-13 01:23:53.950,5,\DISPLAY1,0
105,2022-12-13 01:23:53.950,2,(81) Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video) - YouTube — Mozilla Firefox,0
106,2022-12-13 01:23:53.950,3,firefox.exe,0
107,2022-12-13 01:23:53.950,4,MozillaWindowClass,0
108,2022-12-13 01:23:56.950,4,ApplicationFrameWindow,0
109,2022-12-13 01:23:56.950,3,explorer.exe,0
110,2022-12-13 01:23:56.950,5,\DISPLAY1,0
111,2022-12-13 01:23:56.950,2,,0
112,2022-12-13 01:24:11.952,2,League of Legends,0
113,2022-12-13 01:24:11.952,3,LeagueClientUx.exe,0
114,2022-12-13 01:24:11.952,4,RCLIENT,0
115,2022-12-13 01:24:11.952,5,\DISPLAY1,0
116,2022-12-13 01:25:38.964,2,,0
117,2022-12-13 01:25:38.964,3,explorer.exe,0
118,2022-12-13 01:25:38.964,4,ATL:00007FFD2C6B8280,0
119,2022-12-13 01:25:38.964,5,\DISPLAY1,0
120,2022-12-13 01:26:02.967,3,LeagueClientUx.exe,0
121,2022-12-13 01:26:02.967,5,\DISPLAY1,0
122,2022-12-13 01:26:02.967,4,RCLIENT,0
123,2022-12-13 01:26:02.967,2,League of Legends,0
124,2022-12-13 01:26:11.968,2,Azir ARAM Build - U.GG Azir Runes + Item Guide for ARAM — Mozilla Firefox,0
125,2022-12-13 01:26:11.968,3,firefox.exe,0
126,2022-12-13 01:26:11.968,4,MozillaWindowClass,0
127,2022-12-13 01:26:11.968,5,\DISPLAY1,0
128,2022-12-13 01:26:17.969,5,\DISPLAY1,0
129,2022-12-13 01:26:17.969,2,Team QA (CCG DCA UCSD-HDSI Capstone) | Microsoft Teams,0
130,2022-12-13 01:26:17.969,3,Teams.exe,0
131,2022-12-13 01:26:17.969,4,Chrome_WidgetWin_1,0
132,2022-12-13 01:26:20.970,4,RCLIENT,0
133,2022-12-13 01:26:20.970,3,LeagueClientUx.exe,0
134,2022-12-13 01:26:20.970,5,\DISPLAY1,0
135,2022-12-13 01:26:20.970,2,League of Legends,0
136,2022-12-13 01:26:38.973,2,Nilah ARAM Build - U.GG Nilah Runes + Item Guide for ARAM — Mozilla Firefox,0
137,2022-12-13 01:26:38.973,3,firefox.exe,0
138,2022-12-13 01:26:38.973,4,MozillaWindowClass,0
139,2022-12-13 01:26:38.973,5,\DISPLAY1,0
140,2022-12-13 01:27:20.977,2,Team QA (CCG DCA UCSD-HDSI Capstone) | Microsoft Teams,0
141,2022-12-13 01:27:20.977,3,Teams.exe,0
