MEASUREMENT_TIME,VALUE
2022-12-13 03:35:08.337,firefox.exe
2022-12-13 03:35:11.337,Yakuza0.exe
2022-12-13 03:38:05.353,firefox.exe
2022-12-13 03:38:11.354,Yakuza0.exe
2022-12-13 03:42:20.392,firefox.exe
2022-12-13 03:42:23.392,Yakuza0.exe
2022-12-13 03:45:02.405,firefox.exe
2022-12-13 03:45:05.405,Yakuza0.exe
2022-12-13 04:06:08.503,firefox.exe
2022-12-13 04:06:11.503,VsDebugConsole.exe
2022-12-13 17:55:06.038,<s>
2022-12-13 17:55:06.038,explorer.exe
2022-12-13 17:55:15.042,SearchApp.exe
2022-12-13 17:55:18.042,explorer.exe
2022-12-13 17:55:21.042,chrome.exe
2022-12-13 17:55:27.043,Zoom.exe
2022-12-13 17:55:36.045,chrome.exe
2022-12-13 17:55:48.047,explorer.exe
2022-12-13 17:55:51.048,Teams.exe
2022-12-13 17:56:03.049,chrome.exe
2022-12-13 17:56:06.049,Discord.exe
2022-12-13 17:56:09.050,Teams.exe
2022-12-13 17:56:21.051,chrome.exe
2022-12-13 17:56:24.051,Teams.exe
2022-12-13 17:57:24.056,chrome.exe
2022-12-13 17:58:39.067,firefox.exe
2022-12-13 17:59:09.071,chrome.exe
2022-12-13 17:59:15.071,firefox.exe
2022-12-13 17:59:57.075,chrome.exe
2022-12-13 18:00:09.077,firefox.exe
2022-12-13 18:00:12.077,chrome.exe
2022-12-13 18:00:15.077,firefox.exe
2022-12-13 18:00:18.078,chrome.exe
2022-12-13 18:00:36.080,firefox.exe
2022-12-13 18:01:18.085,chrome.exe
2022-12-13 18:02:06.092,firefox.exe
2022-12-13 18:02:09.092,chrome.exe
2022-12-13 18:04:09.107,Discord.exe
2022-12-13 18:04:18.109,chrome.exe
2022-12-13 18:09:00.144,SearchApp.exe
2022-12-13 18:09:06.145,explorer.exe
2022-12-13 18:09:09.146,Talkdesk.exe
2022-12-13 18:09:18.148,chrome.exe
2022-12-13 18:09:33.150,Talkdesk.exe
2022-12-13 18:09:36.150,chrome.exe
