Start,Value,End,Duration
2022-12-12 17:55:15.719,League of Legends.exe,2022-12-12 18:03:12.747,0 days 00:07:57.028000
2022-12-12 18:03:12.747,firefox.exe,2022-12-12 18:03:15.747,0 days 00:00:03
2022-12-12 18:03:15.747,League of Legends.exe,2022-12-12 18:14:33.781,0 days 00:11:18.034000
2022-12-12 18:14:33.781,firefox.exe,2022-12-12 18:14:48.783,0 days 00:00:15.002000
2022-12-12 18:14:48.783,LeagueClientUx.exe,2022-12-12 18:31:46.776,0 days 00:16:57.993000
2022-12-12 18:31:46.776,firefox.exe,2022-12-12 18:42:55.851,0 days 00:11:09.075000
2022-12-12 18:42:55.851,VsDebugConsole.exe,2022-12-12 18:43:07.854,0 days 00:00:12.003000
2022-12-12 18:43:07.854,firefox.exe,2022-12-12 18:44:19.859,0 days 00:01:12.005000
2022-12-12 18:44:19.859,ShellExperienceHost.exe,2022-12-12 18:44:25.860,0 days 00:00:06.001000
2022-12-12 18:44:25.860,firefox.exe,2022-12-12 18:44:37.861,0 days 00:00:12.001000
2022-12-12 18:44:37.861,ShellExperienceHost.exe,2022-12-12 18:44:40.861,0 days 00:00:03
2022-12-12 18:44:40.861,firefox.exe,2022-12-12 18:46:46.877,0 days 00:02:06.016000
2022-12-12 18:46:46.877,SearchApp.exe,2022-12-12 18:46:52.877,0 days 00:00:06
2022-12-12 18:46:52.877,firefox.exe,2022-12-12 18:48:25.890,0 days 00:01:33.013000
2022-12-12 18:48:25.890,explorer.exe,2022-12-12 18:48:28.890,0 days 00:00:03
2022-12-12 18:48:28.890,vpnui.exe,2022-12-12 18:48:37.891,0 days 00:00:09.001000
2022-12-12 18:48:37.891,firefox.exe,2022-12-12 18:48:46.891,0 days 00:00:09
2022-12-12 18:48:46.891,vpndownloader.exe,2022-12-12 18:48:49.891,0 days 00:00:03
2022-12-12 18:48:49.891,firefox.exe,2022-12-12 18:55:47.046,0 days 00:06:57.155000
2022-12-12 18:55:47.046,VsDebugConsole.exe,2022-12-12 18:55:50.046,0 days 00:00:03
2022-12-12 18:55:50.046,notepad.exe,2022-12-12 18:55:53.047,0 days 00:00:03.001000
2022-12-12 18:55:53.047,Discord.exe,2022-12-12 18:57:14.057,0 days 00:01:21.010000
2022-12-12 18:57:14.057,firefox.exe,2022-12-12 18:58:23.063,0 days 00:01:09.006000
2022-12-12 18:58:23.063,Teams.exe,2022-12-12 18:58:32.063,0 days 00:00:09
2022-12-12 18:58:32.063,explorer.exe,2022-12-12 18:59:08.067,0 days 00:00:36.004000
2022-12-12 18:59:08.067,notepad++.exe,2022-12-12 18:59:32.070,0 days 00:00:24.003000
2022-12-12 18:59:32.070,SearchApp.exe,2022-12-12 18:59:35.071,0 days 00:00:03.001000
2022-12-12 18:59:35.071,explorer.exe,2022-12-12 18:59:41.072,0 days 00:00:06.001000
2022-12-12 18:59:41.072,cmd.exe,2022-12-12 18:59:47.073,0 days 00:00:06.001000
2022-12-12 18:59:47.073,explorer.exe,2022-12-12 18:59:50.073,0 days 00:00:03
2022-12-12 18:59:50.073,firefox.exe,2022-12-12 18:59:53.073,0 days 00:00:03
2022-12-12 18:59:53.073,vpnui.exe,2022-12-12 18:59:56.074,0 days 00:00:03.001000
2022-12-12 18:59:56.074,firefox.exe,2022-12-12 19:01:11.084,0 days 00:01:15.010000
2022-12-12 19:01:11.084,explorer.exe,2022-12-12 19:01:14.084,0 days 00:00:03
2022-12-12 19:01:14.084,SearchApp.exe,2022-12-12 19:01:50.087,0 days 00:00:36.003000
2022-12-12 19:01:50.087,explorer.exe,2022-12-12 19:03:44.100,0 days 00:01:54.013000
2022-12-12 19:03:44.100,Teams.exe,2022-12-12 19:05:05.111,0 days 00:01:21.011000
2022-12-12 19:05:05.111,explorer.exe,2022-12-12 19:05:11.112,0 days 00:00:06.001000
2022-12-12 19:05:11.112,devenv.exe,2022-12-12 19:05:26.113,0 days 00:00:15.001000
2022-12-12 19:05:26.113,explorer.exe,2022-12-12 19:05:56.117,0 days 00:00:30.004000
2022-12-12 19:05:56.117,devenv.exe,2022-12-12 19:05:59.117,0 days 00:00:03
2022-12-12 19:05:59.117,Discord.exe,2022-12-12 19:06:02.118,0 days 00:00:03.001000
2022-12-12 19:06:02.118,devenv.exe,2022-12-12 19:06:08.119,0 days 00:00:06.001000
2022-12-12 19:06:08.119,Discord.exe,2022-12-12 19:06:23.121,0 days 00:00:15.002000
2022-12-12 19:06:23.121,devenv.exe,2022-12-12 19:07:20.128,0 days 00:00:57.007000
2022-12-12 19:07:20.128,explorer.exe,2022-12-12 19:07:44.133,0 days 00:00:24.005000
2022-12-12 19:07:44.133,devenv.exe,2022-12-12 19:07:59.135,0 days 00:00:15.002000
2022-12-12 19:07:59.135,firefox.exe,2022-12-12 19:08:38.140,0 days 00:00:39.005000
2022-12-12 19:08:38.140,devenv.exe,2022-12-12 19:08:50.142,0 days 00:00:12.002000
2022-12-12 19:08:50.142,firefox.exe,2022-12-12 19:12:59.173,0 days 00:04:09.031000
2022-12-12 19:12:59.173,Discord.exe,2022-12-12 19:13:02.174,0 days 00:00:03.001000
2022-12-12 19:13:02.174,firefox.exe,2022-12-12 19:13:05.174,0 days 00:00:03
2022-12-12 19:13:05.174,Discord.exe,2022-12-12 19:13:23.174,0 days 00:00:18
2022-12-12 19:13:23.174,firefox.exe,2022-12-12 19:18:08.209,0 days 00:04:45.035000
2022-12-12 19:18:08.209,devenv.exe,2022-12-12 19:18:41.214,0 days 00:00:33.005000
2022-12-12 19:18:41.214,Discord.exe,2022-12-12 19:18:50.214,0 days 00:00:09
2022-12-12 19:18:50.214,devenv.exe,2022-12-12 19:19:11.216,0 days 00:00:21.002000
2022-12-12 19:19:11.216,explorer.exe,2022-12-12 19:19:50.219,0 days 00:00:39.003000
2022-12-12 19:19:50.219,devenv.exe,2022-12-12 19:20:02.220,0 days 00:00:12.001000
2022-12-12 19:20:02.220,explorer.exe,2022-12-12 19:20:20.224,0 days 00:00:18.004000
2022-12-12 19:20:20.224,devenv.exe,2022-12-12 19:20:23.224,0 days 00:00:03
2022-12-12 19:20:23.224,explorer.exe,2022-12-12 19:20:29.225,0 days 00:00:06.001000
2022-12-12 19:20:29.225,devenv.exe,2022-12-12 19:22:47.242,0 days 00:02:18.017000
2022-12-12 19:22:47.242,explorer.exe,2022-12-12 19:23:29.247,0 days 00:00:42.005000
2022-12-12 19:23:29.247,devenv.exe,2022-12-12 19:25:53.264,0 days 00:02:24.017000
2022-12-12 19:25:53.264,VsDebugConsole.exe,2022-12-12 19:26:02.265,0 days 00:00:09.001000
2022-12-12 19:26:02.265,steam.exe,2022-12-12 19:26:05.265,0 days 00:00:03
2022-12-12 19:26:05.265,steamwebhelper.exe,2022-12-12 19:26:14.267,0 days 00:00:09.002000
2022-12-12 19:26:14.267,steam.exe,2022-12-12 19:26:32.268,0 days 00:00:18.001000
2022-12-12 19:26:32.268,firefox.exe,2022-12-12 19:31:41.301,0 days 00:05:09.033000
2022-12-12 19:31:41.301,steam.exe,2022-12-12 19:31:44.302,0 days 00:00:03.001000
2022-12-12 19:31:44.302,firefox.exe,2022-12-12 19:31:53.303,0 days 00:00:09.001000
2022-12-12 19:31:53.303,Yakuza0.exe,2022-12-12 19:31:56.304,0 days 00:00:03.001000
2022-12-12 19:31:56.304,firefox.exe,2022-12-12 19:31:59.304,0 days 00:00:03
2022-12-12 19:31:59.304,Yakuza0.exe,2022-12-12 19:35:08.337,0 days 00:03:09.033000
2022-12-12 19:35:08.337,firefox.exe,2022-12-12 19:35:11.337,0 days 00:00:03
2022-12-12 19:35:11.337,Yakuza0.exe,2022-12-12 19:38:05.353,0 days 00:02:54.016000
2022-12-12 19:38:05.353,firefox.exe,2022-12-12 19:38:11.354,0 days 00:00:06.001000
2022-12-12 19:38:11.354,Yakuza0.exe,2022-12-12 19:42:20.392,0 days 00:04:09.038000
2022-12-12 19:42:20.392,firefox.exe,2022-12-12 19:42:23.392,0 days 00:00:03
2022-12-12 19:42:23.392,Yakuza0.exe,2022-12-12 19:45:02.405,0 days 00:02:39.013000
2022-12-12 19:45:02.405,firefox.exe,2022-12-12 19:45:05.405,0 days 00:00:03
2022-12-12 19:45:05.405,Yakuza0.exe,2022-12-12 20:06:08.503,0 days 00:21:03.098000
