MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-01-09 18:53:18.238	2	Running applications	0
2023-01-09 18:53:19.362	3	firefox.exe	0
2023-01-09 18:53:19.362	4	MozillaWindowClass	0
2023-01-09 18:53:19.362	5	\DISPLAY1	0
2023-01-09 18:53:21.269	2	Type here to search	0
2023-01-09 18:53:21.269	3	explorer.exe	0
2023-01-09 18:53:21.269	4	Button	0
2023-01-09 18:53:21.269	5	\DISPLAY1	0
2023-01-09 18:53:30.864	2	General (Service Desk) | Microsoft Teams	0
2023-01-09 18:53:30.864	3	Teams.exe	0
2023-01-09 18:53:30.864	4	Chrome_WidgetWin_1	0
2023-01-09 18:53:30.864	5	\DISPLAY1	0
2023-01-09 18:53:40.864	2	Riot Client Main	0
2023-01-09 18:53:40.864	3	RiotClientUx.exe	0
2023-01-09 18:53:40.864	4	RCLIENT	0
2023-01-09 18:53:40.864	5	\DISPLAY1	0
2023-01-09 18:54:00.865	2		0
2023-01-09 18:54:00.865	3	LeagueClient.exe	0
2023-01-09 18:54:00.865	4	SplashScreenClassName	0
2023-01-09 18:54:00.865	5	\DISPLAY1	0
2023-01-09 18:54:10.866	2	League of Legends	0
2023-01-09 18:54:10.866	3	LeagueClientUx.exe	0
2023-01-09 18:54:10.866	4	RCLIENT	0
2023-01-09 18:54:10.866	5	\DISPLAY1	0
2023-01-09 18:54:45.896	2	Netflix — Mozilla Firefox	0
2023-01-09 18:54:45.896	3	firefox.exe	0
2023-01-09 18:54:45.896	4	MozillaWindowClass	0
2023-01-09 18:54:45.896	5	\DISPLAY1	0
2023-01-09 18:54:56.066	2	Chrome Legacy Window	0
2023-01-09 18:54:56.066	3	LeagueClientUx.exe	0
2023-01-09 18:54:56.066	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 18:54:56.066	5	\DISPLAY1	0
2023-01-09 18:54:57.932	2	Netflix — Mozilla Firefox	0
2023-01-09 18:54:57.932	3	firefox.exe	0
2023-01-09 18:54:57.932	4	MozillaWindowClass	0
2023-01-09 18:54:57.932	5	\DISPLAY1	0
2023-01-09 18:55:04.870	2	Chrome Legacy Window	0
2023-01-09 18:55:04.870	3	LeagueClientUx.exe	0
2023-01-09 18:55:04.870	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 18:55:04.870	5	\DISPLAY1	0
2023-01-09 18:55:14.071	2	Netflix — Mozilla Firefox	0
2023-01-09 18:55:14.071	3	firefox.exe	0
2023-01-09 18:55:14.071	4	MozillaWindowClass	0
2023-01-09 18:55:14.071	5	\DISPLAY1	0
2023-01-09 18:55:15.935	2	Chrome Legacy Window	0
2023-01-09 18:55:15.935	3	LeagueClientUx.exe	0
2023-01-09 18:55:15.935	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 18:55:15.935	5	\DISPLAY1	0
2023-01-09 18:55:17.220	2	Netflix — Mozilla Firefox	0
2023-01-09 18:55:17.220	3	firefox.exe	0
2023-01-09 18:55:17.220	4	MozillaWindowClass	0
2023-01-09 18:55:17.220	5	\DISPLAY1	0
2023-01-09 18:55:25.337	2	Chrome Legacy Window	0
2023-01-09 18:55:25.337	3	LeagueClientUx.exe	0
2023-01-09 18:55:25.337	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 18:55:25.337	5	\DISPLAY1	0
2023-01-09 18:55:43.612	2	Sion ARAM Build - U.GG Sion Runes + Item Guide for ARAM — Mozilla Firefox	0
2023-01-09 18:55:43.612	3	firefox.exe	0
2023-01-09 18:55:43.612	4	MozillaWindowClass	0
2023-01-09 18:55:43.612	5	\DISPLAY1	0
2023-01-09 18:55:47.039	2	Chrome Legacy Window	0
2023-01-09 18:55:47.039	3	LeagueClientUx.exe	0
2023-01-09 18:55:47.039	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 18:55:47.039	5	\DISPLAY1	0
2023-01-09 18:56:03.449	2	Netflix — Mozilla Firefox	0
2023-01-09 18:56:03.449	3	firefox.exe	0
2023-01-09 18:56:03.449	4	MozillaWindowClass	0
2023-01-09 18:56:03.449	5	\DISPLAY1	0
2023-01-09 18:56:20.872	2	General (Service Desk) | Microsoft Teams	0
2023-01-09 18:56:20.872	3	Teams.exe	0
2023-01-09 18:56:20.872	4	Chrome_WidgetWin_1	0
2023-01-09 18:56:20.872	5	\DISPLAY1	0
2023-01-09 18:56:30.872	2	Netflix — Mozilla Firefox	0
2023-01-09 18:56:30.872	3	firefox.exe	0
2023-01-09 18:56:30.872	4	MozillaWindowClass	0
2023-01-09 18:56:30.872	5	\DISPLAY1	0
2023-01-09 18:56:47.528	2	Running applications	0
2023-01-09 18:56:47.528	3	explorer.exe	0
2023-01-09 18:56:47.528	4	MSTaskListWClass	0
2023-01-09 18:56:47.528	5	\DISPLAY1	0
2023-01-09 18:56:48.076	2	League of Legends (TM) Client	0
2023-01-09 18:56:48.076	3	League of Legends.exe	0
2023-01-09 18:56:48.076	4	RiotWindowClass	0
2023-01-09 18:56:48.076	5	\DISPLAY1	0
2023-01-09 18:56:54.869	2	Running applications	0
2023-01-09 18:56:54.869	3	explorer.exe	0
2023-01-09 18:56:54.869	4	MSTaskListWClass	0
2023-01-09 18:56:54.869	5	\DISPLAY1	0
2023-01-09 18:56:57.848	2	League of Legends (TM) Client	0
2023-01-09 18:56:57.848	3	League of Legends.exe	0
2023-01-09 18:56:57.848	4	RiotWindowClass	0
2023-01-09 18:56:57.848	5	\DISPLAY1	0
2023-01-09 19:00:14.343	2	Chrome Legacy Window	0
2023-01-09 19:00:14.343	3	Spotify.exe	0
2023-01-09 19:00:14.343	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 19:00:14.343	5	\DISPLAY1	0
2023-01-09 19:00:17.729	2	League of Legends (TM) Client	0
2023-01-09 19:00:17.729	3	League of Legends.exe	0
2023-01-09 19:00:17.729	4	RiotWindowClass	0
2023-01-09 19:00:17.729	5	\DISPLAY1	0
2023-01-09 19:13:56.824	2	Chrome Legacy Window	0
2023-01-09 19:13:56.824	3	LeagueClientUx.exe	0
2023-01-09 19:13:56.824	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 19:13:56.824	5	\DISPLAY1	0
2023-01-09 19:14:32.027	2	(36) YouTube — Mozilla Firefox	0
2023-01-09 19:14:32.027	3	firefox.exe	0
2023-01-09 19:14:32.027	4	MozillaWindowClass	0
2023-01-09 19:14:32.027	5	\DISPLAY1	0
2023-01-09 19:15:16.114	2	Chrome Legacy Window	0
2023-01-09 19:15:16.114	3	LeagueClientUx.exe	0
2023-01-09 19:15:16.114	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 19:15:16.114	5	\DISPLAY1	0
2023-01-09 19:16:09.190	2	Chrome Legacy Window	0
2023-01-09 19:16:09.190	3	RiotClientUx.exe	0
2023-01-09 19:16:09.190	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 19:16:09.190	5	\DISPLAY1	0
2023-01-09 19:16:22.547	2	N-ACETYL CYSTEINE (NAC): Overview, Uses, Side Effects, Precautions, Interactions, Dosing and Reviews — Mozilla Firefox	0
2023-01-09 19:16:22.547	3	firefox.exe	0
2023-01-09 19:16:22.547	4	MozillaWindowClass	0
2023-01-09 19:16:22.547	5	\DISPLAY1	0
2023-01-09 19:16:33.036	2	Chrome Legacy Window	0
2023-01-09 19:16:33.036	3	RiotClientUx.exe	0
2023-01-09 19:16:33.036	4	Chrome_RenderWidgetHostHWND	0
2023-01-09 19:16:33.036	5	\DISPLAY1	0
